,s1_mean,s2_mean,s3_mean,x_mean,y_mean,z_mean,s1_variation,s2_variation,s3_variation,x_variation,y_variation,z_variation,s1_std,s2_std,s3_std,x_std,y_std,z_std,s1_median,s2_median,s3_median,x_median,y_median,z_median,s1_max,s2_max,s3_max,x_max,y_max,z_max,s1_min,s2_min,s3_min,x_min,y_min,z_min,s1_skew,s2_skew,s3_skew,x_skew,y_skew,z_skew,s1_kurtosis,s2_kurtosis,s3_kurtosis,x_kurtosis,y_kurtosis,z_kurtosis,s1_moment,s2_moment,s3_moment,x_moment,y_moment,z_moment,s1_kstatvar,s2_kstatvar,s3_kstatvar,x_kstatvar,y_kstatvar,z_kstatvar,s1_tvar,s2_tvar,s3_tvar,x_tvar,y_tvar,z_tvar,s1_sem,s2_sem,s3_sem,x_sem,y_sem,z_sem,s1_entropy,s2_entropy,s3_entropy,x_entropy,y_entropy,z_entropy,s2_peak_len,s2_peak_prom,s2_peak_width,s2_peak_height,s2_weight_pred_k,x_peak_len,x_peak_prom,x_peak_width,x_peak_height,x_weight_pred_k,y_peak_len,y_peak_prom,y_peak_width,y_peak_height,y_weight_pred_k,z_peak_len,z_peak_prom,z_peak_width,z_peak_height,z_weight_pred_k,s2_peak_len_50_110,s2_peak_len_20_300,x_peak_len_20_150,x_peak_len_50_200,y_peak_len_50_110,y_peak_len_50_200,s2_peak_prom_sit,s2_peak_prom_stand,x_peak_prom_sit,x_peak_prom_stand,y_peak_prom_sit,y_peak_prom_stand,x_y_corr,z_y_corr,x_z_corr,id,Name,Kg,Target
1529,119.9090909,31.498132,86.96886675,193.3910336,108.3063512,1347.144458,1.434688397,2.311269142,1.467672543,5.112354807,2.598737894,0.5869199333,172.0321814,72.80066053,127.6418178,988.6835803,281.459819,790.6659356,-10,-10,-8,134,72,1044,551,351,392,3591,1048,4616,-26,-24,-25,-2229,-1686,-1629,0.8544412211,2.025762643,0.8642842211,1.183705267,-0.2630966505,0.04328542526,-0.727501865,4.188608475,-0.6693894,2.930310223,5.29769411,3.215042193,29595.07144,5299.936173,16292.43365,977495.2219,79219.62969,625152.6217,1393920.823,217747.1645,441776.1466,5900341198,57371481.72,2552792515,29631.97302,5306.544573,16312.74841,978714.0439,79318.40728,625932.1138,6.074667508,2.570680692,4.507189277,34.91163091,9.938691721,27.91938479,0,0,0,0,0,0,14,333.5,4.60639922,312,1669.219187,14,7065.5,7.883260699,5630,62975.13145,14,3058,15.39822986,1515.5,39369.20149,12,3512,4.341084544,3420.5,17089.06908,9,5,20,9,9,9,1,1,16.17692308,16.17692308,4.538461538,4.538461538,-0.4745913361,-0.01422788499,0.3811339604,user_1612,g,63.7,Walking
1530,112.28625,32.74625,85.09125,205.2225,107.47,1346.7875,1.526966283,2.361590589,1.543089558,5.110212706,2.71127624,0.5981700197,171.4573178,77.33323581,131.3034193,1048.730627,291.3808575,805.6079055,-12,-10,-8,136,80,1028,518,398,429,3773,1190,5102,-26,-25,-29,-2406,-1618,-2041,0.9772350932,2.025078494,1.003215173,1.350235035,-0.5247398656,0.3257462346,-0.5507673597,4.067069519,-0.3825344736,3.243228477,6.999550269,3.6263748,29397.61181,5980.429361,17240.58792,1099835.928,84902.8041,649004.0973,1572682.872,272830.8545,603804.2628,7974000143,81577987.92,2979609124,29434.40482,5987.914254,17262.16563,1101212.444,85009.06543,649816.3678,6.065723866,2.735853216,4.645181055,37.10142254,10.30831372,28.50035894,0,0,0,0,0,0,13,353,4.915773532,330,1784.279519,13,6970,8.031780123,5516,67643.65219,13,2639,23.86421744,1298,90175.39856,11,4219,7.693277761,3634,44547.38885,9,7,22,9,9,9,1,1,15.22633136,15.22633136,4.449704142,4.449704142,-0.5163833511,-0.04154497831,0.3883119987,user_1613,g,63.7,Walking
1531,114.8041616,32.13586291,78.31701346,211.2876377,131.3843329,1423.974296,1.57256644,2.630266339,1.627561005,5.503641479,2.544413967,0.6180437668,180.5371716,84.5258785,127.4657172,1162.851407,334.2961317,880.0784379,-11,-10,-8,138,93,1073,601,451,421,4130,1274,5112,-28,-27,-25,-2367,-1770,-2238,1.094199069,2.41399867,1.14705673,1.27480649,-0.3568160896,-0.01671091445,-0.2662863301,5.927719296,-0.05798118175,2.636452574,4.351868681,3.216479458,32593.67034,7144.624136,16247.50905,1352223.395,111753.9037,774538.0569,2265010.936,498210.5901,630549.6145,10435022598,97656139.45,3852114745,32633.61356,7153.379803,16267.42021,1353880.531,111890.857,775487.2457,6.320065146,2.958997606,4.462192628,40.70794165,11.70270539,30.80890772,0,0,0,0,0,0,9,291,5.602832512,269,1958.527475,11,5379,10.35026698,3302,67624.74905,10,2094.5,15.18099458,1130.5,152689.3366,12,3413.5,12.45970897,3256.5,407264.2586,10,9,21,10,10,10,1,1,15.33781965,15.33781965,4.660834455,4.660834455,-0.6009303987,0.08973442602,0.3111234048,user_1614,g,63.7,Walking
1532,112.5539568,38.94724221,92.62110312,165.0647482,102.0935252,1445.489209,1.525066371,2.324369967,1.561296009,7.01043153,2.828812023,0.6235793105,171.6522545,90.52780009,144.6089586,1157.175115,288.8033915,901.377164,-11,-11,-8,126,66,1057,541,464,474,4313,1356,4595,-26,-25,-27,-2346,-704,-1963,1.01095632,2.169569638,1.119841533,1.254347941,0.939469489,0.1092570814,-0.4344303359,4.676129424,-0.0447660401,2.955567873,2.948958376,2.486000917,29464.49649,8195.282588,20911.75092,1339054.248,83407.39893,812480.7918,3288709.825,1087497.136,2070143.84,21545514189,83481354.39,7179738270,29535.32461,8214.982787,20962.01955,1342273.128,83607.89748,814433.8707,8.415944187,4.438490569,7.090037519,56.73517783,14.15975124,44.19365143,0,0,0,0,0,0,8,329.5,6.560210326,308.5,2223.063943,9,5291,10.54485282,3214,62584.48778,9,1783,20.47491071,999,178800.6215,12,3172.5,12.86272228,3008.5,404604.5661,5,5,9,5,5,5,1,1,15.42744063,15.42744063,3.746701847,3.746701847,-0.5431975383,0.12612654,0.2949860916,user_1615,g,63.7,Walking
1533,69.4675,24.7575,68.0825,130.09,58.875,1364.42,2.138496119,3.629319297,2.029970484,7.809003087,6.901729769,0.6267203448,148.5559792,89.85287248,138.2054655,1015.873212,406.3393402,855.1097728,-13,-12,-12,144,56,1013.5,581,624,491,4021,1251,3759,-26,-24,-25,-2338,-1830,-2137,1.627936521,3.355148498,1.568382503,1.348961834,-1.222799366,-0.02111302475,1.339488109,13.37208228,1.071101,4.312640322,6.432005324,2.424608105,22068.87894,8073.538694,19100.75069,1031998.382,165111.6594,731212.7236,4111271.281,2535745.668,2831872.825,17006359997,581587637.8,5982154930,22124.18942,8093.773127,19148.62225,1034584.844,165525.4731,733045.3369,7.437101152,4.49826998,6.918927346,50.85727195,20.34241093,42.80903342,0,0,0,0,0,0,10,317,6.028280864,301.5,2430.347021,10,5396.5,10.23407969,3645,54666.95139,10,1864,19.4253143,1081,44948.30304,12,3310,11.22656704,3209.5,99210.67232,5,4,13,5,5,5,1,1,12.20418848,12.20418848,4.636125654,4.636125654,-0.6225657486,-0.03323863155,0.3905605944,user_1616,g,63.7,Walking
1534,97.8875,26.62375,75.9825,228.935,83.11,1353.2175,1.689243086,2.990640842,1.687152317,4.798260731,4.198626017,0.6487351483,165.3557826,79.62207411,128.1940509,1098.489821,348.9478083,877.8797555,-12,-11,-11,158,70,1040,618,583,510,4237,1124,7768,-28,-24,-29,-2570,-2453,-2137,1.247255999,2.968303246,1.233366465,1.174228363,-1.275579728,0.7762578285,0.2135879092,10.81340164,0.2624362188,2.888843247,9.812730511,9.04407318,27342.53484,6339.674686,16433.71469,1206679.886,121764.5729,770672.8652,2079276.921,647653.0535,767708.6664,8949461269,220256659.4,8248972689,27376.75579,6347.609197,16454.28255,1208190.123,121916.9691,771637.412,5.84986707,2.816826494,4.53517951,38.86177626,12.34488604,31.0571532,0,0,0,0,0,0,5,332,6.294914875,310,2612.389673,5,5643,9.881431843,3861,63626.53964,5,1964,22.00870572,958,44435.57685,5,4854,16.18501338,3453,393842.7693,10,8,25,10,11,10,1,1,16.6,16.6,4.554285714,4.554285714,-0.4405423915,0.06257881926,0.297814978,user_1617,g,63.7,Walking
1535,94.49625,24.11375,67.46375,215.2575,125.265,1458.8975,1.716594024,3.28107595,1.786456596,5.674283298,2.705084666,0.641886278,162.2116981,79.11904518,120.5210612,1221.432037,338.8524307,936.4462862,-12,-11,-10,158,85,1065,503,415,436,3997,1190,5004,-26,-29,-25,-2695,-1339,-2035,1.227769371,2.75629908,1.346043345,1.043825034,-0.09128851278,0.03603982438,-0.05363120998,7.602781074,0.4695609735,2.278320374,3.038136625,2.796280841,26312.63499,6259.823311,14525.32619,1491896.221,114820.9698,876931.647,1692873.101,473191.4326,654727.2938,11970862844,83507518.67,4637014315,26345.56694,6267.657883,14543.50557,1493763.425,114964.6756,878029.1835,5.738637354,2.79903061,4.263728645,43.21115923,11.98773726,33.12908812,0,0,0,0,0,0,9,333,5.262115839,311,2053.191687,9,5704,10.29492069,3583,58840.01668,10,1926.5,44.200459,987,203742.2576,10,4337,13.72847012,3521,78780.53805,10,10,26,10,10,10,1,1,16.46854083,16.46854083,5.084337349,5.084337349,-0.5630060219,0.05590207602,0.3100197808,user_1618,g,63.7,Walking
1536,103.5386445,33.21046373,84.68489893,189.8858502,113.0178359,1431.54459,1.613393545,2.467627198,1.578014668,6.104200474,3.267731077,0.6453876546,167.0485806,81.95104356,133.6340127,1159.101297,369.3118947,923.9012053,-12,-11,-9,132,64,1056,547,430,421,5514,2365,6627,-26,-25,-25,-2685,-1544,-2399,1.084348292,2.244694826,1.078097526,1.303415243,0.5087208856,0.7278659697,-0.3348216218,5.243600775,-0.2007951774,3.221707445,5.804488109,4.931792833,27905.22829,6715.973541,17858.04934,1343515.816,136391.2755,853593.4371,1548821.112,390678.8232,685431.7966,11269127265,173610211.8,6039329222,27938.4488,6723.968748,17879.30893,1345115.239,136553.6461,854609.6197,5.763723612,2.827579636,4.610811485,39.99279423,12.74247096,31.8776201,0,0,0,0,0,0,10,390.5,5.613037385,366.5,2443.218366,10,6005,9.339319566,3840,67492.78733,10,2142,19.25752664,1147.5,232748.5854,13,2868,10.16637299,3675,201706.5507,10,10,23,10,10,10,1,1,16.27004219,16.27004219,5.067510549,5.067510549,-0.4096349609,0.1157899989,0.2223880228,user_1619,g,63.7,Walking
1537,97.16313823,29.06475716,75.99626401,215.3424658,150.5454545,1415.022416,1.654831658,2.643989469,1.672874738,5.779020953,2.657362443,0.6515677746,160.7886372,76.84691185,127.1322303,1244.468622,400.0538368,921.9830066,-12,-11,-10,128,95,1036,484,383,421,4919,2350,4596,-26,-25,-25,-2453,-1860,-2203,1.124177384,2.255237836,1.212951141,1.407459556,0.5661507796,0.06571337061,-0.2853996398,5.061079667,0.1122350203,3.197337526,8.277405871,2.503102724,25852.98584,5905.447861,16162.60397,1548702.15,160043.0723,850052.6645,1433989.752,308472.6163,690630.1611,15613547731,329795745.7,4075269072,25885.22148,5912.811263,16182.75684,1550633.201,160242.6273,851112.5805,5.677644159,2.713558793,4.489195115,43.94371471,14.12639207,32.55635177,0,0,0,0,0,0,10,371,6.051740967,349,2382.9,10,5873.5,10.46097688,3633.5,66726.9464,10,2100,24.05284847,1139.5,154763.0784,13,2833,7.597399596,3451,78177.85468,10,8,25,10,11,10,1,1,17.3427762,17.3427762,4.23796034,4.23796034,-0.2802297034,0.1025651298,0.3560488463,user_1620,g,63.7,Walking
1538,101.94,30.71375,78.6825,218.4375,137.0075,1395.07,1.615766494,2.613130765,1.633614821,5.166979358,2.464500804,0.6136538944,164.7112364,80.25904504,128.5368982,1128.662054,337.6550939,856.0901384,-12,-10,-8,148,91,1039,522,429,459,4639,1475,4241,-26,-25,-26,-2744,-1337,-2334,1.123109384,2.418977717,1.220909995,1.458839726,0.02703291155,-0.028447932,-0.2134556789,6.14387495,0.2882130055,3.63198873,3.865950672,2.87266908,27129.7914,6441.514311,16521.73419,1273878.031,114010.9624,732890.3251,1651685.376,424915.4114,784804.9544,11490883577,95868354.71,3290415868,27163.74608,6449.576281,16542.41221,1275472.372,114153.6545,733807.5846,5.827064664,2.839360905,4.547308573,39.92919314,11.94537853,30.28629196,0,0,0,0,0,0,10,321,5.639276006,302,2018.078947,10,6027,10.05452614,3925,63253.15481,10,2252,59.43160299,1140.5,161123.586,12,4598.5,14.1184274,3598,486098.3077,9,8,25,9,10,9,1,1,14.29373368,14.29373368,4.597911227,4.597911227,-0.5181415962,0.09993458132,0.3547084599,user_1621,g,63.7,Walking
